Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
      Graphic designers,3421,37,12.23,0.0,12.79,-1.2,8.82,9.49,9.96,10.37,11.24,13.17,13.8,14.57,15.98,x
"      Product, clothing and related designers",3422,18,12.78,-7.4,14.41,-0.8,8.25,10.15,10.54,10.86,11.96,14.68,16.89,17.88,18.54,x
    Media Associate Professionals,343,87,14.98,-2.2,17.52,0.5,9.41,11.14,12.01,12.59,13.67,16.41,18.28,19.65,21.86,x
"      Journalists, newspaper and periodical editors",3431,32,15.83,0.4,18.43,1.4,10.55,12.09,12.64,13.05,14.21,16.82,18.55,19.5,22.43,x
      Broadcasting associate professionals,3432,15,21.22,0.8,24.78,3.9,12.39,15.11,16.39,17.66,19.51,22.58,25.3,27.35,x,x
      Public relations officers,3433,19,14.18,1.2,15.16,1.6,9.9,11.15,12.22,12.77,13.37,14.96,15.86,16.33,17.06,x
      Photographers and audio-visual equipment operators,3434,21,11.98,3.3,13.23,0.9,7.6,8.9,9.52,9.91,10.99,13.28,14.78,15.57,16.43,x
    Sports And Fitness Occupations,344,24,10.59,-3.6,x,,6.48,7.57,8.03,8.32,9.15,11.93,13.73,14.84,x,x
      Sports players,3441,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"      Sports coaches, instructors and officials",3442,11,11.98,-7.5,13.49,,8.02,8.96,9.77,10.61,11.19,13.21,14.09,14.91,x,x
      Fitness instructors,3443,8,8.15,3.4,8.69,-4.1,x,6.96,7.21,7.42,7.78,8.7,9.09,x,x,x
      Sports and fitness occupations n.e.c.,3449,x,x,,11.41,26.7,x,x,x,x,x,x,x,x,x,x
   Business and public service associate professionals,35,1128,14.27,-1.4,16.39,-1.2,8.95,10.43,11.15,11.8,12.86,15.65,17.46,18.57,20.23,25.24
    Transport Associate Professionals,351,43,23.24,4.2,27.24,2.6,16,19.72,20.69,21.77,22.8,23.62,25.93,26.99,30.71,x
      Air traffic controllers,3511,6,29.27,8.9,32.18,7.2,x,18.91,24.15,25.93,26.79,34.49,37.93,x,x,x
      Aircraft pilots and flight engineers,3512,9,44.33,19.2,44.75,14.4,x,23.91,26,28.09,32.26,49.29,53.75,x,x,x
      Ship and hovercraft officers,3513,x,x,,15.81,-5.6,x,x,x,x,x,x,x,x,x,x
      Train drivers,3514,26,22.86,4.3,21.73,2.1,17.75,20.67,20.99,21.65,22.13,x,x,23.24,23.46,x
    Legal Associate Professionals,352,37,12.53,-1.7,14.38,4.0,8.66,9.58,10.05,10.35,11.19,13.67,15.57,16.27,17.17,x
      Legal associate professionals,3520,37,12.53,-1.7,14.38,4.0,8.66,9.58,10.05,10.35,11.19,13.67,15.57,16.27,17.17,x
    Business And Finance Associate Professionals,353,265,15.91,-1.3,19.41,0.3,10.13,11.79,12.53,13.22,14.55,17.8,20.31,21.89,24.01,31.42
"      Estimators, valuers and assessors",3531,43,13.83,-3.0,16,0.9,9.31,11.04,11.5,12.03,13.06,15.46,17.53,19.04,20.56,x
      Brokers,3532,22,28.99,19.0,36.26,8.2,12.52,16.43,17.73,20.82,23.96,32.73,41.5,46.97,52.38,x
      Insurance underwriters,3533,17,16.56,0.1,19.84,-10.6,9.99,11.21,11.89,12.82,15.06,18.7,20.46,21.83,x,x
      Finance and investment analysts/advisers,3534,73,18.84,0.8,21.24,0.0,11.5,13.47,14.32,14.95,16.77,20.55,23.34,25.27,26.6,x
      Taxation experts,3535,6,16.54,1.7,20.79,12.3,x,14.55,14.94,15.36,16.15,18.13,x,x,x,x
"      Importers, exporters",3536,x,10.9,-0.4,12,-1.9,x,x,x,10.25,10.43,11.71,x,x,x,x
      Financial and accounting technicians,3537,19,17.39,0.7,19.39,0.1,10.72,12.77,13.46,14.05,16.01,20.08,22.11,22.52,24.39,x
      Business and related associate professionals n.e.c.,3539,81,14.27,-0.8,15.12,-1.4,9.66,11.05,11.58,12.19,13.21,15.26,16.37,16.94,17.89,21.27
