Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Quantity surveyors,2453,43,44120,-3.1,48736,-1.5,26056,29403,33484,35203,39585,48915,57181,61725,x,x
   Chartered surveyors,2454,73,40066,3.5,43335,-3.4,26138,31266,33563,34776,37597,43958,47842,49438,51934,x
   Construction project managers and related professionals,2455,36,40227,6.6,45387,10.4,27208,30953,34010,34697,38665,43705,47083,51310,x,x
  Welfare Professionals,246,160,33206,3.8,33325,4.1,18107,24389,26452,27271,29138,37006,40478,41691,43078,47791
   Social workers,2461,99,38241,4.3,36911,3.8,20750,27317,30122,32374,35418,40783,42546,43809,45501,x
   Probation officers,2462,x,x,,31765,-4.2,x,x,x,x,x,x,x,x,x,x
   Clergy,2463,45,27270,2.0,26300,2.7,13903,19209,21434,25270,26890,27805,28235,28607,30297,x
   Youth work professionals,2464,x,x,,38772,12.1,x,x,x,x,x,x,x,x,x,x
   Welfare professionals n.e.c.,2469,13,30101,8.2,29928,1.3,x,x,x,22905,27553,33044,35737,x,x,x
  Librarians and Related Professionals,247,24,26948,-2.1,28406,5.3,x,15149,16751,20379,23765,30860,33990,36285,x,x
   Librarians,2471,13,23313,,28174,6.6,x,x,x,16751,21393,x,x,x,x,x
   Archivists and curators,2472,x,30724,8.6,28699,3.3,x,x,x,x,28245,33344,x,x,x,x
  Quality and Regulatory Professionals,248,171,40514,1.8,44421,0.1,24966,29805,32277,33853,37190,43992,48277,50797,53726,x
   Quality control and planning engineers,2481,56,39280,0.7,40524,4.1,25646,30113,32253,33398,36185,41988,45179,47914,49973,x
   Quality assurance and regulatory professionals,2482,103,41685,2.2,47366,-1.9,24937,29874,32579,35042,38275,46270,50848,53980,58061,x
   Environmental health professionals,2483,12,36905,-0.8,36919,-3.5,x,27691,28395,30710,32953,39245,x,x,x,x
  Media Professionals,249,97,38102,10.8,40283,4.3,23996,28598,29960,32315,34522,41458,45532,x,x,x
   Newspaper and periodical editors,2491,22,38649,12.7,39708,1.5,x,29175,32166,32719,36242,42539,45398,x,x,x
   Newspaper and periodical journalists and reporters,2492,17,35842,8.9,38997,15.5,x,29878,31689,32136,34079,42124,45769,x,x,x
   Public relations professionals,2493,29,33468,,34993,-0.1,x,25848,27031,28795,31704,36837,40575,42187,x,x
   Advertising accounts managers and creative directors,2494,x,x,,46336,1.6,25644,30237,x,x,x,x,x,x,x,x
Associate professional occupations,3,3435,32245,3.5,37090,4.8,16463,22680,24460,26038,29063,35912,40786,43492,47066,58559
" Science, engineering and technology associate professionals",31,716,31268,4.4,33474,4.5,20264,23955,25180,26590,29000,34144,37426,39642,41888,48600
"  Science, Engineering and Production Technicians",311,410,31572,4.0,33457,4.5,19925,23868,25218,26639,29304,34723,38174,40277,42159,48641
   Laboratory technicians,3111,49,24051,4.4,25612,2.1,14488,18765,20160,20856,22584,25987,27985,28722,x,x
   Electrical and electronics technicians ,3112,x,34255,0.0,38982,4.3,x,27946,28729,30098,31403,x,x,x,x,x
   Engineering technicians ,3113,75,39478,5.7,40120,3.9,26078,30238,32071,33291,36614,42167,45006,46544,47810,x
   Building and civil engineering technicians ,3114,x,29835,-9.5,31894,-7.5,x,x,x,x,x,x,x,x,x,x
   Quality assurance technicians ,3115,29,28291,-0.4,29204,-0.1,22283,23954,24384,24726,26386,30219,31774,32549,x,x
"   Planning, process and production technicians",3116,46,32944,6.1,36209,6.9,23808,26242,27309,28289,30631,36022,39637,40515,43808,x
"   Science, engineering and production technicians n.e.c.",3119,192,31405,5.3,32596,6.6,19509,23453,25094,26682,29309,34399,37152,39089,40887,x
"  CAD, Drawing and Architectural Technicians",312,42,30856,2.6,33199,0.8,21990,25746,26993,27576,29350,32308,34893,36239,37999,x
"   CAD, drawing and architectural technicians",3120,42,30856,2.6,33199,0.8,21990,25746,26993,27576,29350,32308,34893,36239,37999,x
  Information Technology Technicians,313,264,30891,5.0,33546,5.1,20525,23757,24793,25990,28466,33820,36733,38786,41885,x
   IT operations technicians,3131,81,30061,5.4,33303,6.2,20913,23364,24329,25193,27795,33155,36171,37639,40179,x
