Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
  Other Educational Professionals,232,171,24.97,-0.6,29.45,1.6,13.54,15.68,17.51,18.75,21.79,29.41,34.7,38.44,40.6,49.7
   Head teachers and principals,2321,55,40.87,0.9,44.95,5.8,26.75,31.76,33.84,35.1,38.75,44.88,47.92,50.53,53.28,x
   Education managers ,2322,50,22.93,1.9,24.81,-6.7,15.55,17.66,18.22,18.79,20.98,25.21,27.98,29.58,31.74,x
   Education advisers and school inspectors,2323,20,20.6,7.0,21.59,1.1,13.58,14.6,15.59,16.78,18.94,22.19,24.53,25.6,x,x
   Early education and childcare services managers,2324,23,13.97,8.5,14.93,6.1,11.23,11.96,12.27,12.66,13.43,14.35,15.02,16.6,x,x
   Other educational professionals n.e.c,2329,24,21.99,8.2,25.22,2.4,13.13,14.72,15.96,17.76,20.01,25.9,28.74,x,x,x
" Business, media and public service professionals",24,2346,22.74,5.3,25.36,3.3,13.95,16.49,17.66,18.72,20.74,24.94,27.66,29.26,31.26,37.56
  Legal Professionals,241,212,23.11,0.0,29.07,0.2,12.4,14.31,15.53,17.01,20.4,26.53,29.78,32.05,35.34,x
   Barristers and judges,2411,15,25.51,-9.9,24.6,-14.4,x,13.4,14.9,16.09,20.83,28.02,29.71,30.66,x,x
   Solicitors and lawyers,2412,130,27.34,4.4,33.77,4.6,15.11,19.26,21.43,22.55,24.91,29.62,33.3,35.7,38.33,x
   Legal professionals n.e.c.,2419,67,15.33,-2.9,20.86,-5.5,11.22,12.18,12.77,13.14,14.24,17.43,19.01,20.36,x,x
  Finance Professionals,242,374,22.77,7.8,25.77,3.9,13.83,16.54,17.54,18.44,20.54,24.99,27.74,29.22,30.97,37.42
   Chartered and certified accountants,2421,116,24.38,7.4,25.89,8.6,14.37,17.94,19.15,20.36,22.3,26.43,28.59,30.13,32.37,x
   Finance and investment analysts and advisers,2422,226,21.46,8.9,25.56,4.4,13.56,15.8,16.83,17.83,19.76,24.01,26.46,28.19,29.97,36.94
   Taxation experts,2423,32,22.59,-6.4,26.8,-9.7,14.61,17.25,17.99,18.17,20.05,27.38,30.33,32.19,35.4,x
"  Business, Research and Administrative Professionals",243,639,23.63,5.5,26.08,5.0,14.77,17.17,18.31,19.48,21.52,26.06,28.74,30.19,32.41,38.43
   Management consultants and business analysts,2431,283,24.86,6.8,27.45,6.7,14.72,17.46,18.86,20.09,22.52,27.53,30.4,32.54,35.02,40.76
   Marketing and commercial managers,2432,115,23.45,1.4,25.86,1.2,15.33,17.68,18.75,19.45,21.25,26.04,28.76,30.37,32.5,38.33
"   Actuaries, economists and statisticians",2433,37,23.53,1.0,26.9,5.0,15.33,17.6,18.38,19.64,21.91,26.4,28.83,29.69,x,x
   Business and related research professionals,2434,109,20.12,6.4,21.09,4.1,13.52,15.42,16.35,17.15,18.6,21.05,22.5,23.03,24.33,x
   Professional/Chartered company secretaries ,2435,x,x,,30.45,13.2,x,x,x,x,23.47,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,91,26.07,2.8,27.26,2.6,16.53,18.76,20.74,22.02,24.71,28.58,30.76,31.8,33.41,x
  Business and Financial Project Management Professionals,244,339,27.18,5.8,29.07,2.9,16.6,19.76,21.08,22.34,24.8,30.14,33.22,35.13,37.26,42.59
   Business and financial project management professionals,2440,339,27.18,5.8,29.07,2.9,16.6,19.76,21.08,22.34,24.8,30.14,33.22,35.13,37.26,42.59
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,248,21.56,3.5,22.85,3.7,13.82,15.86,17.16,17.98,19.8,23.22,25.29,26.99,28.67,32.91
   Architects,2451,42,22.61,3.0,24.05,5.8,15.04,18.17,19.35,20.15,21.56,24.54,27.16,28.11,30.19,x
"   Chartered architectural technologists, planning officers and consultants",2452,21,18.91,9.3,20.45,4.8,13.27,14.27,15.3,15.55,16.79,21.11,22.11,23.45,x,x
   Quantity surveyors,2453,52,23.76,3.9,25.5,4.9,13.57,17.33,18.4,19.31,21.01,26.14,29.85,31.25,33.06,x
   Chartered surveyors,2454,92,21.16,5.2,21.95,1.5,13.65,15.53,16.65,17.38,19.17,23.05,24.58,26.15,27.16,x
   Construction project managers and related professionals,2455,42,19.63,4.1,21.58,7.9,14.37,15.82,16.54,17.76,18.7,21.34,23.16,23.75,24.28,x
  Welfare Professionals,246,185,19.96,5.7,19.6,5.1,12.7,14.31,15.2,16.56,18.48,21.1,22.4,23.08,24.28,26.02
   Social workers,2461,114,21.31,4.1,21.34,4.3,15.22,17.99,18.74,19.43,20.46,22.07,23.22,24.14,24.74,26.61
   Probation officers,2462,x,x,,18.22,-14.4,x,x,x,x,x,x,x,x,x,x
   Clergy,2463,50,14.83,7.5,15.83,7.1,10.95,12.65,12.9,13.2,13.94,15.78,17.58,18.68,20,x
