Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Teachers of English as a foreign language,2317,x,18.89,,18.87,,x,x,x,x,16.3,x,x,x,x,x
   Teaching professionals n.e.c.,2319,63,18.37,,18.25,,11.18,13.01,13.84,14.96,16.65,20.78,22.83,25,26.49,x
  Other Educational Professionals,232,173,25.98,,28.69,,11.69,14.27,15.84,17.95,21.2,30.81,35.53,38.1,40.4,48.21
   Head teachers and principals,2321,61,39.73,,42.54,,27.24,31.91,32.88,34.28,37.78,42.31,45.68,47.8,50.19,x
   Education managers ,2322,34,21.29,,24.04,,12.95,15,16.48,17.29,19.54,24.9,29.44,32.1,32.46,x
   Education advisers and school inspectors,2323,19,19.05,,20.17,,x,12.7,14.51,15.39,17.68,20.77,23.88,25.36,x,x
   Early education and childcare services managers,2324,27,12.01,,13.27,,9.72,10.33,10.74,11.03,11.66,12.56,13.43,13.67,15.31,x
   Other educational professionals n.e.c,2329,33,23.87,,25.31,,12.62,16.09,17.76,18.09,20.36,25.25,28.66,30.27,33.71,x
" Business, media and public service professionals",24,2024,21.08,,23.99,,12.74,15.32,16.39,17.29,19.22,23.15,25.96,27.57,29.64,36.65
  Legal Professionals,241,204,24.1,,30.06,,11.85,14.37,16.22,17.74,21.07,26.87,33.05,37.22,41.71,57.92
   Barristers and judges,2411,14,20.48,,21.94,,x,x,x,15.42,18.21,23.93,x,x,x,x
   Solicitors and lawyers,2412,135,26.37,,32.72,,14.33,18.29,20.17,21.49,24.09,30.11,36.34,39,44.75,59.08
   Legal professionals n.e.c.,2419,56,16.4,,25.76,,10.61,11.74,12.04,12.77,13.95,19.16,x,x,x,x
  Finance Professionals,242,285,20.12,,23.86,,12.57,14.95,15.98,16.84,18.59,22.14,25.28,27.03,28.69,35.02
   Chartered and certified accountants,2421,102,21.41,,23.36,,13.36,16.61,17.48,18.4,19.81,23.24,26.28,27.22,28.59,x
   Finance and investment analysts and advisers,2422,160,19.24,,23.73,,12.11,14.03,14.81,15.56,17.41,21.09,23.75,25.54,28.01,x
   Taxation experts,2423,23,22.83,,27.06,,16.47,16.86,17.74,18.34,20,26.72,28.57,x,x,x
"  Business, Research and Administrative Professionals",243,529,21.46,,23.82,,13.29,15.65,16.6,17.5,19.48,23.82,26.37,28.08,29.98,35.89
   Management consultants and business analysts,2431,207,21.95,,24.43,,13.09,15.64,16.67,17.67,20.01,24.53,28.1,29.87,31.27,37.07
   Marketing and commercial managers,2432,100,21.89,,24.19,,12.68,15.69,16.75,17.52,19.96,24.47,27.36,28.98,31.32,x
"   Actuaries, economists and statisticians",2433,31,23.86,,28.65,,14.01,15.85,17.66,18.18,21.56,26.35,29.85,x,x,x
   Business and related research professionals,2434,127,18.75,,19.81,,12.73,14.92,15.66,16.14,17.51,19.88,21.18,22.38,23.99,26.45
   Professional/Chartered company secretaries ,2435,7,25,,27.57,,x,x,x,x,22.63,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,57,25.36,,26.49,,15.52,19.17,21.06,22.65,23.85,27.11,28.64,30.25,31.85,x
  Business and Financial Project Management Professionals,244,297,25.02,,27.21,,14.67,18,19.26,20.29,22.72,27.49,30.18,32.39,34.42,41.24
   Business and financial project management professionals,2440,297,25.02,,27.21,,14.67,18,19.26,20.29,22.72,27.49,30.18,32.39,34.42,41.24
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,206,20.09,,21.55,,12.49,14.82,15.84,16.77,18.42,21.98,24.36,25.46,26.85,31.5
   Architects,2451,44,21.13,,22.32,,13.95,16.38,17.12,18.06,19.5,22.22,24.06,25.02,25.5,x
"   Chartered architectural technologists, planning officers and consultants",2452,11,17.29,,19.33,,x,14.84,14.95,15.47,16.51,18.77,21.13,x,x,x
   Quantity surveyors,2453,50,22.15,,23.73,,11.26,14.67,16.5,17.23,19.39,25.46,27.22,29.7,31.41,x
   Chartered surveyors,2454,77,19.55,,20.62,,12.75,14.55,15.63,16.6,18.38,21.16,23.36,24.38,25.79,x
   Construction project managers and related professionals,2455,24,17.59,,19.43,,11.5,12.73,13.88,15.03,16.34,20.96,22.26,23.55,x,x
  Welfare Professionals,246,193,19.26,,19.09,,12.28,14.61,15.65,16.59,17.91,20.1,21.55,22.18,22.76,24.92
   Social workers,2461,131,20.08,,20.3,,14.37,16.71,17.44,17.95,19.13,21.12,22.18,22.77,23.39,25.88
   Probation officers,2462,15,19.16,,18.05,,x,15.65,15.72,16.28,16.93,19.26,19.26,19.6,x,x
   Clergy,2463,27,13.91,,14.92,,9.49,10.51,10.88,11.2,12.9,15.14,16.2,17.84,x,x
   Youth work professionals,2464,x,18.64,,18.17,,x,x,x,x,15.92,19.26,x,x,x,x
   Welfare professionals n.e.c.,2469,14,15.26,,16.87,,x,12.8,12.96,13.23,13.75,18.58,21.53,x,x,x
