Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Nurse practitioners,2234,64,36818,,35614,,17004,22540,25153,26895,31695,40104,43087,44584,46322,x
   Mental health nurses,2235,16,33702,,35547,,x,23800,27134,30282,32389,35735,40553,x,x,x
   Children's nurses,2236,16,25597,,27212,,x,17413,19992,21728,23152,29587,30752,33385,x,x
   Other nursing professionals ,2237,563,30972,,31008,,12140,20167,22384,24272,28181,34049,37381,39125,41386,47134
  Veterinarians,224,20,37976,,37002,,x,29090,30907,31874,34805,40232,42789,44224,x,x
   Veterinarians,2240,20,37976,,37002,,x,29090,30907,31874,34805,40232,42789,44224,x,x
  Other Health Professionals,225,177,36305,,36434,,x,x,x,28178,33208,40069,43816,46390,x,x
   Pharmacists,2251,56,38044,,37343,,15850,22653,24638,28028,34443,43000,46391,47958,49516,x
   Optometrists,2252,11,34760,,34314,,x,x,x,x,31759,36055,x,x,x,x
   Dental practitioners,2253,x,x,,39686,,x,x,x,x,x,x,x,x,x,x
   Medical radiographers,2254,26,36536,,36443,,x,26047,28430,30363,34413,39886,42956,46254,49111,x
   Paramedics,2255,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Podiatrists,2256,x,x,,28158,,x,x,x,x,x,x,x,x,x,x
   Other health professionals n.e.c.,2259,49,32373,,33791,,17457,22006,24262,25560,28556,36134,39111,40608,43167,x
 Teaching and other educational professionals,23,1642,36548,,36896,,15481,23608,25929,27930,32442,40540,43741,45644,48040,56160
  Teaching Professionals,231,1481,36188,,35718,,15475,23634,25935,27856,32097,39859,42769,44601,46447,53120
   Higher education teaching professionals,2311,184,43468,,44252,,x,23694,27985,31463,37732,48397,52560,55339,59135,x
   Further education teaching professionals,2312,105,32405,,31766,,11172,19368,21086,24645,28869,35710,39028,40842,43616,x
   Secondary education teaching professionals,2313,569,39223,,37743,,20538,26430,28414,30496,34767,41604,44565,46029,47979,53076
   Primary education teaching professionals,2314,510,34859,,33722,,16442,23898,25722,27459,30644,37687,41099,41564,43113,47826
   Nursery education teaching professionals,2315,11,x,,25843,,x,x,x,x,x,x,x,x,x,x
   Special needs education teaching professionals,2316,43,29669,,29744,,x,x,x,x,25658,33235,38150,40473,x,x
