Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
      Personnel and industrial relations officers,3562,94,24683,-0.1,27884,-2.6,16500,18746,19670,20686,22399,26774,30074,31508,33310,x
      Vocational and industrial trainers and instructors,3563,71,24602,-0.8,26517,1.3,17591,19691,20793,21582,23317,26679,29519,30827,32451,x
      Careers advisers and vocational guidance specialists,3564,9,26694,-2.1,28608,-1.4,x,20253,21659,22783,25368,28507,30481,x,x,x
"      Inspectors of factories, utilities and trading standards",3565,x,33411,11.4,36463,7.1,x,x,x,25491,29969,x,x,x,x,x
      Statutory examiners,3566,6,26260,-13.6,28219,-5.6,x,22936,23714,24554,25079,28404,29456,x,x,x
      Occupational hygienists and safety officers (health and safety),3567,24,31863,0.1,34161,-2.1,20315,24064,26582,28441,30274,34113,37707,39493,42227,x
      Environmental health officers,3568,x,31544,4.5,31635,5.5,x,26710,27212,27954,29836,32898,x,x,x,x
Administrative and secretarial occupations,4,1754,19757,1.4,21525,0.5,13634,15607,16333,16946,18348,21519,23756,25012,26573,31408
   Administrative occupations,41,1429,19830,1.2,21589,0.3,13791,15769,16453,17051,18470,21582,23785,25037,26562,31281
    Administrative Occupations: Government And Related Organisations,411,246,21079,3.1,22357,3.7,15704,17085,17853,18451,19472,22958,24921,25917,27054,30586
      Civil Service executive officers,4111,48,25785,4.2,26279,4.8,19902,21757,22874,23412,24658,26501,28034,29037,29846,x
      Civil Service administrative officers and assistants,4112,101,18814,2.9,19787,3.7,14974,16119,16485,16927,17913,19361,20931,22015,23086,26622
      Local government clerical officers and assistants,4113,91,21692,3.3,22955,4.1,15942,17444,18155,18927,20140,23499,25509,26570,27811,32189
      Officers of non-governmental organisations,4114,x,23953,0.2,25193,-4.8,x,18373,18638,19255,21800,25277,x,x,x,x
    Administrative Occupations: Finance,412,406,20899,2.4,22749,-0.6,14124,16146,16921,17667,19163,22753,24870,26192,27839,33742
      Credit controllers,4121,20,20032,0.1,21604,-0.7,15421,16745,17023,17648,18845,21363,23251,24509,x,x
"      Accounts and wages clerks, book-keepers, other financial clerks",4122,240,21013,1.3,23201,-1.5,14257,16254,17092,17849,19255,23015,25290,26783,28641,35004
      Counter clerks,4123,146,20710,3.3,22166,1.0,13783,15773,16579,17435,18877,22379,24334,25405,26843,32093
    Administrative Occupations: Records,413,265,19745,0.1,21638,0.0,13804,15810,16400,17000,18481,21442,23675,24879,26259,30930
      Filing and other records assistants/clerks,4131,95,19593,-0.4,20840,-0.1,13678,15728,16333,16884,18381,21150,23060,23847,25000,28672
      Pensions and insurance clerks,4132,33,20162,1.4,23333,3.1,15224,16741,17170,17994,18965,21939,25384,27011,28894,x
      Stock control clerks,4133,61,19593,2.1,21283,2.0,13630,15326,16162,16871,18053,21368,23578,24424,25835,x
      Transport and distribution clerks,4134,36,22986,-0.1,24559,0.0,16181,18239,18805,19203,21147,24831,26665,28007,28943,x
      Library assistants/clerks,4135,13,17589,0.2,17976,-2.9,13195,15238,15610,15980,16942,18797,19560,20048,20569,x
      Database assistants/clerks,4136,25,17014,-6.0,21228,-7.4,12930,14215,14972,15533,16401,18961,21205,23394,26045,x
      Market research interviewers,4137,x,x,,17711,1.2,x,x,x,x,x,x,x,x,x,x
